,price,area,price per square foot
374,1413900,2811,502.9882604
375,1053200,2197,479.3809741
376,964700,2025,476.3950617
377,571600,1175,486.4680851
378,510600,1058,482.6086957
379,239600,524,457.2519084
380,551300,1136,485.2992958
381,1625600,3200,508
382,1507300,2983,505.2966812
383,969300,2034,476.5486726
384,1788900,3390,527.699115
385,1231200,2540,484.7244094
386,667000,1356,491.8879056
387,519900,1076,483.1784387
388,1017500,2540,400.5905512
389,524700,1085,483.59447
390,571600,1175,486.4680851
391,1235900,2549,484.8568066
392,524700,1085,483.59447
393,562300,1157,485.9982714
394,2023100,3616,559.4856195
395,1207800,2495,484.0881764
396,964700,2025,476.3950617
397,803600,1709,470.2165009
398,1081000,2251,480.2310084
399,681300,1383,492.6247289
400,562300,1157,485.9982714
401,1526900,3019,505.7634978
402,941700,1980,475.6060606
403,1217100,2513,484.3215281
404,1207800,2495,484.0881764
405,233700,751,311.1850866
406,407800,1565,260.5750799
407,290700,1015,286.4039409
408,246700,809,304.9443758
409,439800,1737,253.1951641
410,436000,1716,254.0792541
411,292200,786,371.7557252
412,282700,751,376.4314248
413,281300,746,377.077748
414,307700,844,364.5734597
415,317200,880,360.4545455
416,287300,768,374.0885417
417,317600,882,360.0907029
418,341200,973,350.668037
419,351500,796,441.5829146
420,389800,1314,296.651446
421,473300,1797,263.3834168
422,166600,440,378.6363636
423,176900,478,370.083682
424,328400,1123,292.4309884
425,2335200,2954,790.521327
426,1501500,2157,696.1057024
427,919600,1862,493.877551
428,771600,1403,549.9643621
429,730400,1560,468.2051282
430,885500,1862,475.5639098
431,478500,1037,461.4271938
432,624800,1318,474.0515933
433,1053800,1854,568.3926645
434,830500,1671,497.0077798
435,932800,1862,500.9667025
436,478500,1037,461.4271938
437,629200,1318,477.3899848
438,1750100,2157,811.3583681
439,1249600,2319,538.8529539
440,728200,1560,466.7948718
441,632500,1318,479.8937785
442,954800,1671,571.3943746
443,730400,1560,468.2051282
444,941600,1862,505.6928034
445,493900,976,506.045082
446,303600,583,520.754717
447,1475100,2474,596.2409054
448,882200,1671,527.9473369
449,739200,1560,473.8461538
450,936100,1862,502.7389903
451,609400,1318,462.3672231
452,1353000,2157,627.2600834
453,921800,1854,497.1952535
454,962500,1671,576.0023938
455,745800,1560,478.0769231
456,936100,1862,502.7389903
457,470800,1037,454.0019286
458,639100,1318,484.9013657
459,783700,1490,525.9731544
460,1063700,1799,591.2729294
461,928400,1639,566.442953
462,573100,1259,455.2025417
463,928400,1639,566.442953
464,1685200,2644,637.3676248
465,1080200,1799,600.4446915
466,922900,1765,522.8895184
467,938300,1639,572.4832215
468,796400,1418,561.6361072
469,457600,764,598.9528796
470,1824900,2644,690.204236
471,1089000,1799,605.3362979
472,929500,1765,526.6288952
473,947100,1639,577.852349
474,590700,1259,469.1818904
475,1343600,2644,508.1694402
476,1390400,2160,643.7037037
477,1096700,1799,609.6164536
478,938300,1765,531.6147309
479,485100,764,634.947644
480,596200,1259,473.5504369
481,1855700,2644,701.8532526
482,1401400,2160,648.7962963
483,1105500,1799,614.50806
484,944900,1765,535.3541076
485,966900,1639,589.9328859
486,787600,1418,555.4301834
487,1412400,2160,653.8888889
488,1114300,1799,619.3996665
489,952600,1765,539.7167139
490,1100000,1639,671.1409396
491,493900,764,646.4659686
492,2266000,2644,857.0347958
493,1816100,2160,840.787037
494,960300,1765,544.0793201
495,1179200,1639,719.4630872
496,1454200,2644,550
497,1444300,2160,668.6574074
498,1832600,2500,733.04
499,2337500,5600,417.4107143
500,1530100,2122,721.065033
501,1592800,2589,615.218231
502,1039500,1622,640.8754624
503,1585100,1850,856.8108108
504,2346300,2500,938.52
505,2035000,3715,547.7792732
506,348700,947,368.2154171
507,353100,925,381.7297297
508,592900,1408,421.09375
509,337700,975,346.3589744
510,482900,1351,357.4389341
511,348700,918,379.8474946
512,348700,947,368.2154171
513,353100,925,381.7297297
514,592900,1408,421.09375
515,337700,975,346.3589744
516,482900,1351,357.4389341
517,348700,918,379.8474946
518,751300,1592,471.9221106
519,804100,1669,481.7855003
520,746300,1635,456.4525994
521,688600,1591,432.8095537
522,1023000,1909,535.8826611
523,741600,1669,444.3379269
524,792000,1635,484.4036697
525,524700,1274,411.8524333
526,751300,1592,471.9221106
527,804100,1669,481.7855003
528,792000,1635,484.4036697
529,719400,1615,445.4489164
530,1523500,2846,535.3127196
531,105600,415,254.4578313
532,633000,1635,387.1559633
533,688600,1591,432.8095537
534,776600,1663,466.9873722
535,1369500,2559,535.1699883
536,1202300,2254,533.407276
537,915200,1708,535.8313817
538,1320000,2464,535.7142857
539,1105500,2064,535.6104651
540,906400,1692,535.6973995
541,1320000,2464,535.7142857
542,1111000,2080,534.1346154
543,906400,1692,535.6973995
544,1320000,2464,535.7142857
545,1111000,2080,534.1346154
546,759000,1692,448.5815603
547,1320000,2464,535.7142857
548,1111000,2080,534.1346154
549,906400,1692,535.6973995
550,1320000,2464,535.7142857
551,1111000,2080,534.1346154
552,984500,1776,554.3355856
553,1367300,2464,554.9107143
554,1069200,1995,535.9398496
555,2250600,3384,665.070922
556,2284700,3384,675.1477541
